"timestamp","value","state_context"
"2026-02-03 19:48:54.895+00","361","CYCLE_COUNT"
"2026-02-03 19:49:06.417+00","362","CYCLE_COUNT"
"2026-02-03 19:49:17.938+00","363","CYCLE_COUNT"
"2026-02-03 19:49:29.459+00","364","CYCLE_COUNT"
"2026-02-03 19:49:41.981+00","365","CYCLE_COUNT"
"2026-02-03 19:49:50.496+00","366","CYCLE_COUNT"
"2026-02-03 19:50:01.518+00","367","CYCLE_COUNT"
"2026-02-03 19:50:11.537+00","368","CYCLE_COUNT"
"2026-02-03 19:50:23.559+00","369","CYCLE_COUNT"
"2026-02-03 19:50:35.078+00","370","CYCLE_COUNT"
"2026-02-03 19:50:44.091+00","371","CYCLE_COUNT"
"2026-02-03 19:50:56.616+00","372","CYCLE_COUNT"
"2026-02-03 19:51:07.133+00","373","CYCLE_COUNT"
"2026-02-03 19:51:20.151+00","374","CYCLE_COUNT"
"2026-02-03 19:51:28.163+00","375","CYCLE_COUNT"
"2026-02-03 19:51:41.188+00","376","CYCLE_COUNT"
"2026-02-03 19:51:50.705+00","377","CYCLE_COUNT"
"2026-02-03 19:52:03.229+00","378","CYCLE_COUNT"
"2026-02-03 19:52:13.747+00","379","CYCLE_COUNT"
"2026-02-03 19:52:25.269+00","380","CYCLE_COUNT"
"2026-02-03 19:52:33.784+00","381","CYCLE_COUNT"
"2026-02-03 19:52:46.808+00","382","CYCLE_COUNT"
"2026-02-03 19:52:57.327+00","383","CYCLE_COUNT"
"2026-02-03 19:53:10.35+00","384","CYCLE_COUNT"
"2026-02-03 19:53:20.369+00","385","CYCLE_COUNT"
"2026-02-03 19:53:32.893+00","386","CYCLE_COUNT"
"2026-02-03 19:53:40.407+00","387","CYCLE_COUNT"
"2026-02-03 19:53:52.426+00","388","CYCLE_COUNT"
"2026-02-03 19:54:03.447+00","389","CYCLE_COUNT"
"2026-02-03 19:54:14.465+00","390","CYCLE_COUNT"
"2026-02-03 19:54:24.483+00","391","CYCLE_COUNT"
"2026-02-03 19:54:36.005+00","392","CYCLE_COUNT"
"2026-02-03 19:54:47.026+00","393","CYCLE_COUNT"
"2026-02-03 19:54:58.547+00","394","CYCLE_COUNT"
"2026-02-03 19:55:09.568+00","395","CYCLE_COUNT"
"2026-02-03 19:55:21.091+00","396","CYCLE_COUNT"
"2026-02-03 19:55:30.609+00","397","CYCLE_COUNT"
"2026-02-03 19:55:42.633+00","398","CYCLE_COUNT"
"2026-02-03 19:55:52.15+00","399","CYCLE_COUNT"
"2026-02-03 19:56:05.675+00","400","CYCLE_COUNT"
"2026-02-03 19:56:14.188+00","401","CYCLE_COUNT"
"2026-02-03 19:56:26.711+00","402","CYCLE_COUNT"
"2026-02-03 19:56:37.232+00","403","CYCLE_COUNT"
"2026-02-03 19:56:47.75+00","404","CYCLE_COUNT"
"2026-02-03 19:56:59.772+00","405","CYCLE_COUNT"
"2026-02-03 19:57:10.79+00","406","CYCLE_COUNT"
"2026-02-03 19:57:21.309+00","407","CYCLE_COUNT"
"2026-02-03 19:57:32.829+00","408","CYCLE_COUNT"
"2026-02-03 19:57:45.354+00","409","CYCLE_COUNT"
"2026-02-03 19:57:54.871+00","410","CYCLE_COUNT"
"2026-02-03 19:58:07.395+00","411","CYCLE_COUNT"
"2026-02-03 19:58:17.412+00","412","CYCLE_COUNT"
"2026-02-03 19:58:27.927+00","413","CYCLE_COUNT"
"2026-02-03 19:58:39.448+00","414","CYCLE_COUNT"
"2026-02-03 19:58:49.467+00","415","CYCLE_COUNT"
"2026-02-03 19:59:01.488+00","416","CYCLE_COUNT"
"2026-02-03 19:59:12.508+00","417","CYCLE_COUNT"
"2026-02-03 19:59:24.028+00","418","CYCLE_COUNT"
"2026-02-03 19:59:33.546+00","419","CYCLE_COUNT"
"2026-02-03 19:59:45.586+00","420","CYCLE_COUNT"
"2026-02-03 19:59:58.109+00","421","CYCLE_COUNT"
"2026-02-03 20:00:07.627+00","422","CYCLE_COUNT"
"2026-02-03 20:00:18.144+00","423","CYCLE_COUNT"
"2026-02-03 20:00:30.167+00","424","CYCLE_COUNT"
"2026-02-03 20:00:40.185+00","425","CYCLE_COUNT"
"2026-02-03 20:00:51.2+00","426","CYCLE_COUNT"
"2026-02-03 20:01:02.22+00","427","CYCLE_COUNT"
"2026-02-03 20:01:14.74+00","428","CYCLE_COUNT"
"2026-02-03 20:01:26.262+00","429","CYCLE_COUNT"
"2026-02-03 20:01:36.281+00","430","CYCLE_COUNT"
"2026-02-03 20:01:47.801+00","431","CYCLE_COUNT"
"2026-02-03 20:01:58.32+00","432","CYCLE_COUNT"
"2026-02-03 20:02:08.339+00","433","CYCLE_COUNT"
"2026-02-03 20:02:19.859+00","434","CYCLE_COUNT"
"2026-02-03 20:02:30.378+00","435","CYCLE_COUNT"
